# evid,Ml,Mw,fc,n,stressdrop
2020105004807ISUHX00000,1.360,1.582,28.755,1.967,7.864
2020105023127ISUHX00000,0.790,1.126,28.435,2.035,1.574
2020127195401ISUHX00000,0.190,0.603,31.169,1.534,0.341
2020133050422ISUHX00000,1.150,1.367,25.757,1.868,2.690
2020133082147ISUHX00000,1.000,1.282,26.833,1.892,2.270
2020135030406ISUHX00000,0.130,0.525,35.964,1.879,0.401
2020135042225ISUHX00000,0.440,0.899,27.791,2.129,0.673
2020137042925ISUHX00000,0.510,0.904,29.206,1.644,0.795
2020137210529ISUHX00000,1.330,1.489,29.615,2.258,6.241
2020138133743ISUHX00000,1.130,1.311,27.486,1.842,2.699
2020138195928ISUHX00000,1.020,1.232,30.135,1.756,2.702
2020138200605ISUHX00000,0.440,0.922,24.673,1.535,0.509
2020138220120ISUHX00000,0.090,0.583,37.354,1.438,0.548
2020141210300ISUHX00000,0.210,0.603,36.371,1.476,0.542
2020141221946ISUHX00000,0.260,0.751,28.197,1.748,0.421
2020143001430ISUHX00000,0.380,0.809,31.575,1.878,0.723
2020143164951ISUHX00000,0.910,1.177,27.452,1.860,1.693
2020151192156ISUHX00000,0.150,0.519,47.196,1.329,0.885
2020152171625ISUHX00000,1.020,1.254,33.878,2.121,4.146
2020179045059ISUHX00000,1.040,1.255,32.914,2.142,3.811
2020336164944ISUHX00000,0.510,1.054,22.906,2.338,0.643
2020343121621ISUHX00000,0.460,0.921,30.846,2.332,0.991
